driver_index,lap,lap_c_flag,cp,is_sector,cp_time,position
0,6,0,99,False,326.584,6.0
0,6,0,100,False,327.0886,6.0
0,6,0,101,False,327.9066,6.0
0,6,0,102,False,328.5755,6.0
0,6,0,103,False,329.3312,6.0
0,6,0,104,False,329.6565,6.0
0,6,0,105,False,329.9379,6.0
0,6,0,106,False,330.3234,6.0
0,6,0,107,False,330.7229,6.0
0,6,0,108,False,331.3714,6.0
0,6,0,109,False,331.8971,6.0
0,6,0,110,False,332.3475,6.0
0,6,0,111,False,332.8876,6.0
0,6,0,112,False,333.3566,6.0
0,6,0,113,False,333.7926,6.0
0,6,0,114,False,334.2826,6.0
0,6,0,115,False,334.6215,6.0
0,7,0,0,True,334.8682,6.0
0,7,0,1,False,335.1447,6.0
0,7,0,2,False,335.4136,6.0
0,7,0,3,False,335.9411,6.0
0,7,0,4,False,336.3415,6.0
0,7,0,5,False,336.7917,6.0
0,7,0,6,False,337.539,6.0
0,7,0,7,False,337.8523,6.0
0,7,0,8,False,338.3654,6.0
0,7,0,9,False,339.2116,6.0
0,7,0,10,False,339.9031,6.0
0,7,0,11,False,340.4886,6.0
0,7,0,12,False,341.0354,6.0
0,7,0,13,False,341.5312,6.0
0,7,0,14,False,342.0004,6.0
0,7,0,15,False,342.2876,6.0
0,7,0,16,False,342.5691,6.0
0,7,0,17,False,343.1135,6.0
0,7,0,18,False,343.6661,6.0
0,7,0,19,False,344.2444,6.0
0,7,0,20,False,344.6648,6.0
0,7,0,21,False,345.2841,6.0
0,7,0,22,False,345.6892,6.0
0,7,0,23,False,346.6504,6.0
0,7,0,24,False,347.6624,6.0
0,7,0,25,False,348.4323,6.0
0,7,0,26,False,348.9728,6.0
0,7,0,27,False,349.4441,6.0
0,7,0,28,False,349.9779,6.0
0,7,0,29,False,350.5061,6.0
0,7,0,30,False,350.8724,6.0
0,7,0,31,False,351.3324,6.0
0,7,0,32,False,351.7424,6.0
0,7,0,33,False,352.2702,6.0
