driver_id,time_start,time_end,lap,tire_compound_start,tire_wear_start,tire_wear_end,tire_perc_start,tire_perc_end,fuel_used_start,fuel_used_end,fuel_perc_start,fuel_perc_end,hit_points_start,hit_points_end,is_inlap,is_outlap,tire_perc_avg,fuel_perc_avg,hit_points_avg,fuel_used,tire_used,lap_time,position_start,position_end
7,2844230,3384208.0,6,1,280428.0,338692.0,84.29502688172043,81.0320340501792,0.0,0.0,0.0,0.0,10000,10000.0,False,False,82.66353046594982,0.0,10000.0,0.0,58264.0,53.9978,10,10
8,2807804,3339837.0,6,1,315740.0,378382.0,82.31742831541219,78.8092517921147,0.0,0.0,0.0,0.0,10000,10000.0,False,False,80.56334005376344,0.0,10000.0,0.0,62642.0,53.2033,5,5
9,2824384,3356933.0,6,2,303779.0,367324.0,87.24046538978494,84.57140456989248,0.0,0.0,0.0,0.0,10000,10000.0,False,False,85.90593497983872,0.0,10000.0,0.0,63545.0,53.2549,7,7
10,2925779,3483178.0,6,1,308857.0,370178.0,82.70290098566308,79.26870519713262,0.0,0.0,0.0,0.0,10000,10000.0,False,False,80.98580309139786,0.0,10000.0,0.0,61321.0,55.7399,19,19
11,2871982,3412390.0,6,2,328574.0,390844.0,86.19900873655914,83.58350134408602,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.89125504032258,0.0,10000.0,0.0,62270.0,54.0408,17,15
12,3173107,3726342.0,6,1,339128.0,405298.0,81.0076164874552,77.30185931899642,0.0,0.0,0.0,0.0,10000,10000.0,False,False,79.15473790322581,0.0,10000.0,0.0,66170.0,55.3235,20,20
13,2861950,3449676.0,6,1,313974.0,373637.0,82.41633064516128,79.07498879928315,0.0,0.0,0.0,0.0,10000,10000.0,False,False,80.74565972222221,0.0,10000.0,0.0,59663.0,58.7726,15,17
14,2848984,3388618.0,6,1,308250.0,367910.0,82.73689516129032,79.39572132616487,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.0663082437276,0.0,10000.0,0.0,59660.0,53.9634,11,11
15,2854459,3393369.0,6,2,293684.0,355208.0,87.66448252688173,85.08030913978494,0.0,0.0,0.0,0.0,10000,10000.0,False,False,86.37239583333334,0.0,10000.0,0.0,61524.0,53.891,13,12
16,2860799,3402572.0,6,1,297293.0,357656.0,83.35052643369175,79.96998207885305,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.6602542562724,0.0,10000.0,0.0,60363.0,54.1773,14,13
17,2864515,3413160.0,6,2,346531.0,411097.0,85.44476646505376,82.73282090053763,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.0887936827957,0.0,10000.0,0.0,64566.0,54.8645,16,16
18,2852633,3405278.0,6,1,302913.0,364522.0,83.03578629032258,79.58546146953405,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.31062387992831,0.0,10000.0,0.0,61609.0,55.2645,12,14
19,2907858,3477088.0,6,2,294428.0,351549.0,87.63323252688173,85.23399697580645,0.0,0.0,0.0,0.0,10000,10000.0,False,False,86.4336147513441,0.0,10000.0,0.0,57121.0,56.923,18,18
0,3348682,3882921.0,7,1,365711.0,426114.0,79.5188732078853,76.13608870967742,0.0,0.0,0.0,0.0,10000,10000.0,False,False,77.82748095878136,0.0,10000.0,0.0,60403.0,53.4239,6,6
1,3299672,3830212.0,7,1,368781.0,430434.0,79.34694220430107,75.89415322580645,0.0,0.0,0.0,0.0,10000,10000.0,False,False,77.62054771505376,0.0,10000.0,0.0,61653.0,53.054,1,1
2,3363815,3899532.0,7,2,360223.0,424268.0,84.86966565860214,82.17960349462365,0.0,0.0,0.0,0.0,10000,10000.0,False,False,83.5246345766129,0.0,10000.0,0.0,64045.0,53.5717,9,9
3,3322623,3853814.0,7,1,369494.0,430762.0,79.30701164874552,75.87578405017922,0.0,0.0,0.0,0.0,10000,10000.0,False,False,77.59139784946237,0.0,10000.0,0.0,61268.0,53.1191,3,3
